VFB_ID	external_IDs	cell_types
VFB_0010026v	['13852833']	['larval mushroom body second order output neuron', 'neuron']
VFB_00100288	['8259199']	['immature Kenyon cell', 'neuron']
VFB_0010026w	['13863331']	['larval mushroom body one-step feedback neuron 15', 'neuron']
VFB_00100289	['8260011']	['immature Kenyon cell', 'neuron']
VFB_0010026x	['14000746']	['neuron', 'larval mushroom body feed across neuron 7']
VFB_0010026y	['14077179']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010026r	['13197236']	['larval mushroom body one-step feedback neuron 17', 'neuron']
VFB_00100284	['8419602']	['neuron', 'Kenyon cell']
VFB_0010026s	['13199414']	['larval mushroom body feedforward neuron 20', 'neuron']
VFB_00100285	['8254894']	['neuron']
VFB_0010026t	['13210358']	['neuron', 'embryonic/larval neuron']
VFB_00100286	['8259179']	['immature Kenyon cell', 'neuron']
VFB_0010026u	['13743125']	['neuron', 'larval mushroom body one-step feedback neuron 26']
VFB_00100287	['8259192']	['neuron', 'immature Kenyon cell']
VFB_0010027a	['14083681']	['larval mushroom body one-step feedback neuron 9', 'neuron']
VFB_0010027b	['14127447']	['larval mushroom body feedforward neuron 15', 'neuron']
VFB_0010026z	['14077615']	['neuron', 'larval mushroom body one-step feedback neuron 16']
VFB_0010027g	['15343835']	['neuron', 'embryonic/larval neuron']
VFB_0010027h	['15478720']	['neuron', 'larval mushroom body feedforward neuron 26']
VFB_0010027i	['15480928']	['neuron', 'larval mushroom body one-step feedback neuron 6']
VFB_0010027j	['15488316']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010027c	['14158399']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010027d	['14260575']	['neuron', 'larval mushroom body feed across neuron 9']
VFB_0010027e	['14493841']	['larval mushroom body feedforward neuron 27', 'neuron']
VFB_0010027f	['14540633']	['larval mushroom body feed across neuron 4', 'neuron']
VFB_0010027o	['15674269']	['larval mushroom body feedforward neuron 10', 'neuron']
VFB_00100291	['8262302']	['neuron', 'Kenyon cell']
VFB_0010027p	['15741865']	['neuron', 'larval mushroom body one-step feedback neuron 10']
VFB_00100292	['8262372']	['Kenyon cell', 'neuron']
VFB_0010027q	['15766806']	['larval mushroom body one-step feedback neuron 15', 'neuron']
VFB_00100293	['8262503']	['Kenyon cell', 'neuron']
VFB_0010027r	['16160495']	['embryonic/larval neuron', 'neuron']
VFB_00100294	['8263140']	['neuron', 'Kenyon cell']
VFB_0010027k	['15510288']	['neuron', 'larval mushroom body feedforward neuron 7']
VFB_0010027l	['15588620']	['neuron', 'larval mushroom body one-step feedback neuron 5']
VFB_0010027m	['15623649']	['neuron', 'embryonic/larval neuron']
VFB_0010027n	['15668309']	['neuron', 'larval mushroom body feed across neuron 11']
VFB_00100290	['8260935']	['immature Kenyon cell', 'neuron']
VFB_0010027w	['16442113']	['larval mushroom body feedforward neuron 3', 'neuron']
VFB_00100299	['8319311']	['larval mushroom body input neuron b1', 'neuron']
VFB_0010027x	['16475849']	['neuron', 'larval mushroom body feed across neuron 12']
VFB_0010027y	['16492104']	['neuron', 'larval mushroom body feedforward neuron 40']
VFB_0010027z	['16594509']	['larval mushroom body one-step feedback neuron 1', 'neuron']
VFB_0010027s	['16316916']	['neuron', 'larval mushroom body feedforward neuron 37']
VFB_00100295	['8263285']	['neuron', 'Kenyon cell']
VFB_0010027t	['16340998']	['neuron', 'larval mushroom body feedforward neuron 25']
VFB_00100296	['8068173']	['Kenyon cell', 'neuron']
VFB_0010027u	['16385470']	['neuron', 'larval mushroom body feedforward neuron 23']
VFB_00100297	['8274902']	['neuron', 'Kenyon cell']
VFB_0010027v	['16427492']	['neuron', 'larval mushroom body one-step feedback neuron 24']
VFB_00100298	['8318678']	['Kenyon cell', 'neuron']
VFB_0010028a	['16691937']	['larval mushroom body one-step feedback neuron 2', 'neuron']
VFB_0010028b	['16699958']	['larval mushroom body feed across neuron 7', 'neuron']
VFB_0010028c	['16823703']	['larval mushroom body feed across neuron 12', 'neuron']
VFB_0010024d	['8078096']	['neuron', 'larval mushroom body feed across neuron 3']
VFB_0010024e	['8118947']	['neuron', 'larval mushroom body one-step feedback neuron 16']
VFB_0010024f	['8135412']	['neuron', 'larval mushroom body feedforward neuron 19']
VFB_0010024g	['8349454']	['larval mushroom body feedforward neuron 30', 'neuron']
VFB_0010024a	['8019816']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010024b	['8052161']	['embryonic/larval neuron', 'neuron']
VFB_0010024c	['8075484']	['neuron', 'larval mushroom body one-step feedback neuron 17']
VFB_0010024l	['8792477']	['neuron', 'larval mushroom body one-step feedback neuron 21']
VFB_0010024m	['8802069']	['neuron', 'larval mushroom body feedforward neuron 9']
VFB_0010024n	['8814922']	['embryonic/larval neuron', 'neuron']
VFB_00100260	['7020344']	['neuron']
VFB_0010024o	['8838927']	['neuron', 'larval mushroom body feedforward neuron 32']
VFB_00100261	['7055857']	['larval mushroom body output neuron d1', 'neuron']
VFB_0010024h	['8540770']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010024i	['8689148']	['larval mushroom body feedforward neuron 34', 'neuron']
VFB_0010024j	['8712361']	['neuron', 'larval mushroom body feed across neuron 2']
VFB_0010024k	['8790590']	['neuron', 'larval mushroom body feedforward neuron 38']
VFB_0010024t	['9064208']	['neuron', 'larval mushroom body one-step feedback neuron 19']
VFB_00100266	['7616956']	['neuron', 'larval mushroom body octopaminergic neuron e1']
VFB_0010024u	['9072237']	['neuron', 'larval mushroom body feedforward neuron 8']
VFB_00100267	['7690945']	['neuron', 'Kenyon cell']
VFB_0010024v	['9083312']	['neuron', 'larval mushroom body second order output neuron']
VFB_00100268	['7786053']	['neuron', 'Kenyon cell']
VFB_0010024w	['9103732']	['larval mushroom body feed across neuron 10', 'neuron']
VFB_00100269	['7829784']	['Kenyon cell', 'neuron']
VFB_0010024p	['8864785']	['neuron', 'larval mushroom body one-step feedback neuron 7']
VFB_00100262	['7092086']	['neuron']
VFB_0010024q	['9048462']	['larval mushroom body feedforward neuron 1', 'neuron']
VFB_00100263	['7187384']	['neuron', 'larval Kenyon cell']
VFB_0010024r	['9057043']	['larval mushroom body one-step feedback neuron 11', 'neuron']
VFB_00100264	['7196392']	['neuron', 'Kenyon cell']
VFB_0010024s	['9062992']	['neuron', 'larval mushroom body one-step feedback neuron 21']
VFB_00100265	['7215582']	['immature Kenyon cell', 'neuron']
VFB_0010024x	['9141404']	['larval mushroom body one-step feedback neuron 2', 'neuron']
VFB_0010024y	['9238937']	['larval mushroom body feed across neuron 10', 'neuron']
VFB_0010024z	['9251793']	['larval mushroom body one-step feedback neuron 20', 'neuron']
VFB_0010025e	['9507904']	['neuron', 'larval mushroom body feedforward neuron 29']
VFB_0010025f	['9527333']	['neuron', 'embryonic/larval neuron']
VFB_0010025g	['9527522']	['neuron', 'larval mushroom body one-step feedback neuron 9']
VFB_0010025h	['9798791']	['larval mushroom body feedforward neuron 33', 'neuron']
VFB_0010025a	['9252296']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010025b	['9287906']	['neuron', 'embryonic/larval neuron']
VFB_0010025c	['9423829']	['larval mushroom body one-step feedback neuron 11', 'neuron']
VFB_0010025d	['9457719']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010025m	['10281116']	['larval mushroom body feedforward neuron 24', 'neuron']
VFB_0010025n	['10351681']	['larval mushroom body feedforward neuron 24', 'neuron']
VFB_00100270	['7910624']	['larval mushroom body output neuron q1', 'neuron']
VFB_0010025o	['10612094']	['neuron', 'larval mushroom body one-step feedback neuron 28']
VFB_00100271	['7983899']	['neuron', 'larval mushroom body octopaminergic neuron e1']
VFB_0010025p	['10612630']	['neuron', 'larval mushroom body feedforward neuron 1']
VFB_00100272	['8012953']	['neuron']
VFB_0010025i	['9841469']	['neuron', 'larval mushroom body feedforward neuron 5']
VFB_0010025j	['9848760']	['neuron', 'larval mushroom body feed across neuron 5']
VFB_0010025k	['10202724']	['neuron', 'larval mushroom body one-step feedback neuron 3']
VFB_0010025l	['10209260']	['neuron', 'larval mushroom body one-step feedback neuron 18']
VFB_0010025u	['11011058']	['larval mushroom body feedforward neuron 2', 'neuron']
VFB_00100277	['8094859']	['mushroom body extrinsic neuron', 'neuron']
VFB_0010025v	['11013351']	['neuron', 'larval mushroom body one-step feedback neuron 12']
VFB_00100278	['8118474']	['neuron', 'Kenyon cell']
VFB_0010025w	['11018254']	['larval mushroom body one-step feedback neuron 6', 'neuron']
VFB_00100279	['9275210']	['larval thermosensory projection neuron', 'neuron']
VFB_0010025x	['11051740']	['larval mushroom body feedforward neuron 13', 'neuron']
VFB_0010025q	['10617840']	['larval mushroom body feedforward neuron 40', 'neuron']
VFB_00100273	['8066542']	['Kenyon cell', 'neuron']
VFB_0010025r	['10682660']	['larval mushroom body one-step feedback neuron 22', 'neuron']
VFB_00100274	['8980589']	['neuron', 'larval mushroom body output neuron c1']
