VFB_ID	external_ID	cell_types
VFB_fw106208	flywire_fafb:720575940642090459	['lamina monopolar neuron L2']
VFB_fw106209	flywire_fafb:720575940614737810	['transmedullary neuron Tm5a']
VFB_fw106210	flywire_fafb:720575940617836006	['medulla intrinsic neuron Mi4']
VFB_fw106211	flywire_fafb:720575940627225987	['transmedullary neuron Tm29']
VFB_fw106200	flywire_fafb:720575940620156501	['transmedullary Y neuron TmY5a']
VFB_fw106223	flywire_fafb:720575940644596640	['transmedullary neuron Tm9']
VFB_fw106224	flywire_fafb:720575940620157269	['transmedullary neuron Tm4']
VFB_fw106225	flywire_fafb:720575940604964576	['lamina monopolar neuron L5']
VFB_fw106226	flywire_fafb:720575940626703460	['transmedullary Y neuron TmY9']
VFB_fw106227	flywire_fafb:720575940618555321	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106228	flywire_fafb:720575940623510541	['transmedullary neuron Tm2']
VFB_fw106229	flywire_fafb:720575940635188634	['transmedullary neuron Tm12']
VFB_fw106230	flywire_fafb:720575940626498853	['transmedullary neuron Tm1']
VFB_fw106231	flywire_fafb:720575940635187354	['distal medullary amacrine neuron Dm8a']
VFB_fw106232	flywire_fafb:720575940606643646	['centrifugal neuron C3']
VFB_fw106233	flywire_fafb:720575940642496653	['transmedullary Y neuron TmY9']
VFB_fw106212	flywire_fafb:720575940622127365	['T2 neuron']
VFB_fw106213	flywire_fafb:720575940623403263	['T2 neuron']
VFB_fw106214	flywire_fafb:720575940631663402	['T2 neuron']
VFB_fw106215	flywire_fafb:720575940620786113	['lamina monopolar neuron L4']
VFB_fw106216	flywire_fafb:720575940640775843	['medulla intrinsic neuron Mi13']
VFB_fw106217	flywire_fafb:720575940639426101	['adult central medulla intrinsic neuron Cm5']
VFB_fw106218	flywire_fafb:720575940623790058	['medulla intrinsic neuron Mi9']
VFB_fw106219	flywire_fafb:720575940642495373	['medulla intrinsic neuron Mi4']
VFB_fw106220	flywire_fafb:720575940635187866	['medulla intrinsic neuron Mi9']
VFB_fw106221	flywire_fafb:720575940636964453	['transmedullary neuron Tm1']
VFB_fw106222	flywire_fafb:720575940635185562	['Y neuron Y12', 'adult glutamatergic neuron']
VFB_fw106245	flywire_fafb:720575940642495885	['medulla intrinsic neuron Mi9']
VFB_fw106246	flywire_fafb:720575940620159573	['transmedullary neuron Tm3']
VFB_fw106247	flywire_fafb:720575940612522482	['T2 neuron']
VFB_fw106248	flywire_fafb:720575940623747366	['T2 neuron']
VFB_fw106249	flywire_fafb:720575940619132726	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106250	flywire_fafb:720575940638234458	['transmedullary neuron Tm24']
VFB_fw106251	flywire_fafb:720575940625028332	['centrifugal neuron C3']
VFB_fw106252	flywire_fafb:720575940617140411	['transmedullary Y neuron TmY5a']
VFB_fw106253	flywire_fafb:720575940626270666	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106254	flywire_fafb:720575940633037101	['medulla intrinsic neuron Mi9']
VFB_fw106255	flywire_fafb:720575940635943834	['transmedullary neuron Tm4']
VFB_fw106234	flywire_fafb:720575940628549894	['transmedullary neuron Tm2']
VFB_fw106235	flywire_fafb:720575940652705782	['transmedullary Y neuron TmY3']
VFB_fw106236	flywire_fafb:720575940630197495	['adult cholinergic neuron', 'adult transmedullary CB3851 neuron']
VFB_fw106237	flywire_fafb:720575940621805238	['lamina monopolar neuron L5']
VFB_fw106238	flywire_fafb:720575940612972822	['medulla intrinsic neuron Mi4']
VFB_fw106239	flywire_fafb:720575940640062296	['lamina monopolar neuron L5']
VFB_fw106240	flywire_fafb:720575940638492506	['adult lobula intrinsic neuron Li18b']
VFB_fw106241	flywire_fafb:720575940625088184	['transmedullary neuron Tm37']
VFB_fw106242	flywire_fafb:720575940645176087	['T2 neuron']
VFB_fw106243	flywire_fafb:720575940621507206	['transmedullary neuron Tm5b']
VFB_fw106244	flywire_fafb:720575940626270154	['transmedullary neuron Tm4']
VFB_fw106267	flywire_fafb:720575940634406044	['adult cholinergic neuron', 'transmedullary Y neuron TmY20']
VFB_fw106268	flywire_fafb:720575940631131845	['transmedullary Y neuron TmY4']
VFB_fw106269	flywire_fafb:720575940620868487	['transmedullary neuron Tm2']
VFB_fw106270	flywire_fafb:720575940622133569	['medulla intrinsic neuron Mi13']
VFB_fw106271	flywire_fafb:720575940611145682	['T2 neuron']
VFB_fw106272	flywire_fafb:720575940608240562	['transmedullary neuron Tm4']
VFB_fw106273	flywire_fafb:720575940614103714	['adult central medulla intrinsic neuron Cm5']
VFB_fw106274	flywire_fafb:720575940633450157	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106275	flywire_fafb:720575940632397379	['centrifugal neuron C3']
VFB_fw106276	flywire_fafb:720575940638417886	['adult cholinergic neuron', 'adult transmedullary CB3851 neuron']
VFB_fw106277	flywire_fafb:720575940628972294	['transmedullary Y neuron TmY9']
VFB_fw106256	flywire_fafb:720575940622456700	['lamina monopolar neuron L5']
VFB_fw106257	flywire_fafb:720575940639427637	['transmedullary neuron Tm4']
VFB_fw106258	flywire_fafb:720575940622456956	['adult central medulla intrinsic neuron Cm3']
VFB_fw106259	flywire_fafb:720575940632117775	['transmedullary Y neuron TmY3']
VFB_fw106260	flywire_fafb:720575940616973654	['transmedullary Y neuron TmY4']
VFB_fw106261	flywire_fafb:720575940616974166	['lamina monopolar neuron L5']
VFB_fw106262	flywire_fafb:720575940623045325	['adult cholinergic neuron', 'adult transmedullary CB3851 neuron']
VFB_fw106263	flywire_fafb:720575940607081161	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106264	flywire_fafb:720575940626632194	['transmedullary neuron Tm5b']
VFB_fw106265	flywire_fafb:720575940628211219	['T4c neuron']
VFB_fw106266	flywire_fafb:720575940627898389	['transmedullary neuron Tm1']
VFB_fw106720	flywire_fafb:720575940615695071	['lamina monopolar neuron L5']
VFB_fw106721	flywire_fafb:720575940626023568	['lamina monopolar neuron L2']
VFB_fw106722	flywire_fafb:720575940632061800	['transmedullary neuron Tm5b']
VFB_fw106723	flywire_fafb:720575940628755305	['transmedullary neuron Tm29']
VFB_fw106724	flywire_fafb:720575940631270444	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106725	flywire_fafb:720575940634208025	['medulla intrinsic neuron Mi4']
VFB_fw106726	flywire_fafb:720575940612988182	['transmedullary neuron Tm8']
VFB_fw106727	flywire_fafb:720575940624939244	['distal medullary amacrine neuron Dm8b']
VFB_fw106728	flywire_fafb:720575940632062056	['transmedullary Y neuron TmY5a']
VFB_fw106729	flywire_fafb:720575940625116711	['transmedullary neuron Tm32']
VFB_fw106710	flywire_fafb:720575940620751750	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106711	flywire_fafb:720575940630279936	['medulla intrinsic neuron Mi2']
VFB_fw106712	flywire_fafb:720575940632766372	['lamina monopolar neuron L2']
VFB_fw106713	flywire_fafb:720575940628600232	['lamina monopolar neuron L5']
VFB_fw106714	flywire_fafb:720575940627990020	['transmedullary neuron Tm9']
VFB_fw106715	flywire_fafb:720575940619139382	['transmedullary neuron Tm1']
VFB_fw106716	flywire_fafb:720575940646012695	['lamina monopolar neuron L5']
VFB_fw106717	flywire_fafb:720575940623218764	['transmedullary Y neuron TmY5a']
VFB_fw106718	flywire_fafb:720575940625092792	['T2 neuron']
VFB_fw106719	flywire_fafb:720575940640491864	['transmedullary Y neuron TmY5a']
VFB_fw106740	flywire_fafb:720575940616792181	['lamina monopolar neuron L5']
VFB_fw106741	flywire_fafb:720575940633846498	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106742	flywire_fafb:720575940627991812	['transmedullary neuron Tm3']
VFB_fw106743	flywire_fafb:720575940623253261	['T2 neuron']
VFB_fw106744	flywire_fafb:720575940612684773	['T5c neuron']
VFB_fw106745	flywire_fafb:720575940623161624	['adult cholinergic neuron', 'transmedullary Y neuron TmY13']
VFB_fw106746	flywire_fafb:720575940623253005	['T5b neuron']
VFB_fw106747	flywire_fafb:720575940622587724	['transmedullary neuron Tm37']
VFB_fw106748	flywire_fafb:720575940617657556	['T4b neuron']
VFB_fw106749	flywire_fafb:720575940637743070	['transmedullary Y neuron TmY3']
