VFB_ID	external_ID	cell_types
VFB_0010280z	10576	['prothoracic femoral chordotonal hook neuron']
VFB_0010281f	342	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281e	511576	['prothoracic femoral chordotonal hook neuron']
VFB_0010281h	12637	['prothoracic femoral chordotonal hook neuron']
VFB_0010281g	346	['adult sensory neuron']
VFB_0010281b	338	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281a	26961	['prothoracic femoral chordotonal hook neuron']
VFB_0010281d	24916	['prothoracic femoral chordotonal hook neuron']
VFB_0010281c	22866	['prothoracic femoral chordotonal club neuron']
VFB_0010281n	511695	['peripherally synapsing interneuron']
VFB_0010281m	511684	['adult sensory neuron']
VFB_0010281p	511733	['prothoracic femoral chordotonal hook neuron']
VFB_0010281o	511719	['prothoracic femoral chordotonal hook neuron']
VFB_0010281j	20839	['mechanosensory neuron of leg chordotonal organ']
VFB_0010281i	358	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281l	24938	['prothoracic femoral chordotonal hook neuron']
VFB_0010281k	511656	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281v	24956	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281u	511799	['mechanosensory neuron of leg chordotonal organ']
VFB_0010281x	386	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281w	14720	['adult sensory neuron']
VFB_0010281r	20854	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010281q	22898	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010281t	14712	['prothoracic femoral chordotonal club neuron']
VFB_0010281s	16759	['prothoracic femoral chordotonal hook neuron']
VFB_001028er	517104	['prothoracic femoral chordotonal claw neuron']
VFB_001028g4	22351	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028eq	26198	['adult sensory neuron']
VFB_001028g3	517740	['adult sensory neuron']
VFB_001028et	22119	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028g6	28501	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028es	20067	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028g5	75600	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028en	190027	['adult sensory neuron']
VFB_001028g0	517704	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028em	106056	['adult sensory neuron']
VFB_001028ep	517079	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028g2	75577	['adult sensory neuron']
VFB_001028eo	120400	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028g1	517717	['adult sensory neuron']
VFB_001028ez	517215	['prothoracic femoral chordotonal claw neuron']
VFB_001028ey	517199	['mechanosensory neuron of prothoracic coxal hair plate CoHP4']
VFB_001028ev	517161	['adult sensory neuron']
VFB_001028g8	517805	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028eu	20074	['prothoracic femoral chordotonal club neuron']
VFB_001028g7	75608	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_001028ex	517187	['adult sensory neuron']
VFB_001028ew	81518	['bilateral campaniform sensillum neuron of metathoracic leg']
VFB_001028g9	517818	['adult sensory neuron']
VFB_001028fc	26276	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028fb	517380	['mechanosensory neuron of prothoracic coxal hair plate CoHP4']
VFB_001028fe	16045	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_001028fd	16040	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_001028fa	26269	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_001028fk	190142	['adult sensory neuron']
VFB_001028fj	517483	['bilateral campaniform sensillum neuron of prothoracic leg']
VFB_001028fm	24286	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028fl	16070	['adult sensory neuron']
VFB_001028fg	81589	['bilateral campaniform sensillum neuron of metathoracic leg']
VFB_001028ff	16049	['adult sensory neuron']
VFB_001028fi	9912	['mechanosensory neuron of prothoracic coxal hair plate CoHP4']
VFB_001028fh	517458	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_001028fs	517595	['adult sensory neuron']
VFB_001028h5	72931	['adult VNC ventral unpaired median neuron']
VFB_001028fr	28400	['adult sensory neuron']
VFB_001028h4	519195	['adult VNC ventral unpaired median neuron']
VFB_001028fu	26375	['mechanosensory neuron of leg chordotonal organ']
VFB_001028h7	71277	['adult VNC ventral unpaired median neuron']
VFB_001028ft	190210	['adult sensory neuron']
VFB_001028h6	73128	['adult VNC ventral unpaired median neuron']
VFB_001028fo	118497	['mechanosensory neuron of prothoracic coxal hair plate CoHP8']
VFB_001028h1	519083	['adult VNC ventral unpaired median neuron', 'adult efferent neuron']
VFB_001028fn	517532	['prothoracic femoral chordotonal club neuron']
VFB_001028h0	22526	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_001028fq	517571	['adult sensory neuron']
VFB_001028h3	70240	['adult VNC ventral unpaired median neuron']
VFB_001028fp	190182	['adult sensory neuron']
VFB_001028h2	9476	['adult VNC ventral unpaired median neuron', 'adult efferent neuron']
VFB_001028fz	22304	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028fw	26382	['adult sensory neuron']
VFB_001028h9	71285	['adult VNC ventral unpaired median neuron']
VFB_001028fv	53001	['bilateral campaniform sensillum neuron of mesothoracic leg']
VFB_001028h8	519260	['adult VNC ventral unpaired median neuron']
VFB_001028fy	517678	['adult sensory neuron']
VFB_001028fx	22293	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_001028gd	517868	['adult sensory neuron']
VFB_001028gc	75639	['adult sensory neuron']
VFB_001028gf	42902	['adult sensory neuron']
VFB_001028ge	75668	['adult sensory neuron']
