skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
10279706	left bLPTCrn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#6 (17697952), FBbt:20001833 (17698203)	Putative Left bLPTCrn 10279707 ME	
10388680	left H2rn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left H2rn#4 (17698032)	Left H2rn 10388681 KS	
11930921	right H2rn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#4 (17698034)	Right H2rn 11930922 ME	
11956980	right H2rn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#5 (17698036)	Right H2rn 11956981 ME	
11965239	right uLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#3 (17698056)	Right uLPTCrn 11965240 ME	
12036568	right H2rn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#6 (17698038)	Putative Right H2rn 12036569 ME	
12526673	right DNa02	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNa02 (17698004), FBbt:00047573 (17698240)	DNa02_AL	
15463854	right DNg41	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNg41 (17698012), FBbt:00047633 (17698247)	Right DNg41 15463855 MB	
16476436	right DNb03#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNb03#2 (17698008), FBbt:00047584 (17698242)	Right DNb03 8416446530 ME	
16769497	right PS047b	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right PS047b (17698042), FBbt:20001802 (17698257)	Right PS047 16769498 ME	
17646149	right bLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right bLPTCrn#3 (17697958), FBbt:20001833 (17698203)	Right bLPTCrn 17646150 ME	
17686499	right VS4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right VS4 (17698108), FBbt:00007520 (17698280)	Putative VSN 852994 JLME ZSG	
