Individual_id	Individual_label	External_id	FBbt_ids	FBbt_labels
VFB_jrchk7zb	WEDPN8A_R (FlyEM-HB:5813054019)	5813054019	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk7zl	WEDPN8C_R (FlyEM-HB:5813133489)	5813133489	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk2dt	ORN_VA7m (FlyEM-HB:5812999657)	5812999657	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2e4	ORN_VA7m (FlyEM-HB:2138888713)	2138888713	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7yb	WEDPN1A_b_R (FlyEM-HB:2030342003)	2030342003	['FBbt_00049454', 'FBbt_00050017']	['adult wedge projection neuron 1', 'adult BAlp3 lineage neuron']
VFB_jrchk7jn	VP5+_l2PN(t10ALT)_R (FlyEM-HB:2069644133)	2069644133	['FBbt_00049726', 'FBbt_00049735']	['adult antennal lobe projection neuron VP5+ l2PN', 'adult antennal lobe projection neuron VP5 l2PN']
VFB_jrchk2df	ORN_VA7m (FlyEM-HB:2107176159)	2107176159	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk461	PPM1202_R (FlyEM-HB:1035601661)	1035601661	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk45x	PPL204_R (FlyEM-HB:542039038)	542039038	['FBbt_00047095', 'FBbt_00005131']	['adult neuron', 'dopaminergic neuron']
VFB_jrchk82p	aSP-g1_R (FlyEM-HB:610916994)	610916994	['FBbt_00049330', 'FBbt_00110461']	['adult fruitless aSP-g1 neuron', 'adult fruitless aSP-g (female) neuron']
VFB_jrchk0vh	MZ_lvPN(multiAL+SEZ)_R (FlyEM-HB:1974846717)	1974846717	['FBbt_00049744', 'FBbt_00049779']	['adult antennal lobe projection neuron VP2+SEZ lvPN 2', 'adult multiglomerular antennal lobe projection neuron lvPN']
VFB_jrchk2ec	ORN_VA7m (FlyEM-HB:2169918880)	2169918880	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchjsj3	AstA1_L (FlyEM-HB:362473525)	362473525	['FBbt_00047095', 'FBbt_00048142']	['adult neuron', 'allatostatin A neuron']
VFB_jrchk2dn	ORN_VA7m (FlyEM-HB:2013751890)	2013751890	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
