FBbt_ID	FBbt_label	times_added	times_removed
FBbt_00067361	adult antennal lobe projection neuron VA1v adPN	20	0
FBbt_00100385	adult antennal lobe projection neuron VM5d adPN	20	0
FBbt_00050017	adult WEDa2 lineage neuron	20	0
FBbt_20007236	adult MeLo14 neuron	20	0
FBbt_00001483	lineage NB3-3 primary interneuron	20	0
FBbt_20007295	lobula plate tangential neuron LPT100	19	0
FBbt_20007603	adult medulla visual projection neuron MeVPMe5	19	0
FBbt_20007556	adult lobula columnar neuron e04	19	0
FBbt_20007290	adult lobula plate visual centrifugal neuron 03	19	0
FBbt_00049484	distal medullary amacrine neuron Dm-DRA2	18	0
FBbt_00007516	vertical system neuron	18	0
FBbt_20007246	adult Li26 neuron	18	0
FBbt_00050206	adult CLp1 lineage neuron	17	0
FBbt_00067353	adult antennal lobe projection neuron DL1 adPN	17	0
FBbt_00050281	adult LHa3 lineage neuron	17	0
FBbt_00050189	adult FLAa2 lineage neuron	17	0
FBbt_00067358	adult antennal lobe projection neuron VM7 adPN	17	0
FBbt_00050236	adult SLPp&v1 lineage neuron	17	0
FBbt_20007614	adult medulla visual projection neuron MeVP14	17	0
FBbt_00050257	adult LHl3 lineage neuron	16	0
FBbt_00051247	lobula columnar neuron LC33	16	0
FBbt_00111275	distal medullary amacrine neuron Dm14	16	0
FBbt_00048928	NB2-5 lineage neuron	16	0
FBbt_00048096	adult antennal lobe projection neuron DA1	16	0
FBbt_00001558	lineage NB7-1 primary motor neuron	16	0
FBbt_00111280	distal medullary amacrine neuron Dm19	15	0
FBbt_00007393	adult local interneuron of the ventral ALv2 neuroblast	15	0
FBbt_00051456	hemilineage 8A secondary neuron	15	0
FBbt_20001262	adult inferior bridge neuron 085	14	0
FBbt_00050120	adult VESa1 lineage neuron	14	0
FBbt_00050002	adult LHa2 lineage neuron	13	0
FBbt_00110459	adult fruitless aSP-f (female) neuron	13	0
FBbt_00053055	hemilineage 0A secondary neuron	13	0
FBbt_00048902	lineage 17 secondary neuron	13	0
FBbt_20007616	adult medulla visual projection neuron MeVPLo2	13	0
FBbt_00100386	adult antennal lobe projection neuron VM5v adPN	13	0
FBbt_00050073	adult WEDd2 lineage neuron	13	0
FBbt_20007232	adult Cm21 neuron	13	0
FBbt_00050070	adult SLPpl2 lineage neuron	13	0
FBbt_00050091	adult SLPpm3 lineage neuron	13	0
FBbt_00048931	NB3-3 lineage neuron	12	0
FBbt_20007609	adult medulla visual projection neuron MeVPMe1	12	0
FBbt_00052819	DPMm2 lineage neuron	12	0
FBbt_00050278	adult SIPa1 lineage neuron	12	0
FBbt_00050203	adult SMPad2 lineage neuron	12	0
FBbt_00050212	adult VLPp2 lineage neuron	12	0
FBbt_20007559	obsolete adult lobula columnar neuron e07	12	0
FBbt_00003745	lamina tangential neuron	12	0
FBbt_00052007	adult neurosecretory neuron	12	0
FBbt_00058202	adult peptidergic neuron	12	0
FBbt_20007602	adult MeMe_e01 neuron	12	0
FBbt_00048874	NB3-3 lineage primary neuron	12	2
FBbt_00050055	adult CLp2 lineage neuron	12	0
FBbt_00049467	adult FLAa3 lineage neuron	12	0
FBbt_00048944	NB7-1 lineage neuron	12	0
FBbt_00050085	adult DL2 lineage neuron	12	0
FBbt_00050049	adult LHl1 lineage neuron	12	0
FBbt_20007557	adult lobula columnar neuron e05	12	0
FBbt_20002104	adult posterior ventrolateral protocerebrum neuron 046	11	0
FBbt_00052047	larval interneuron	11	0
FBbt_00050147	adult VLPl&p2 lineage neuron	11	0
FBbt_00048901	lineage 18 secondary neuron	11	0
FBbt_20007615	adult medulla visual projection neuron MeVP15	11	0
FBbt_00100387	adult antennal lobe projection neuron VC3 adPN	11	0
FBbt_00049861	lobula tangential neuron LT51	11	0
FBbt_20007255	adult Li17 neuron	10	0
FBbt_20007608	adult medulla visual projection neuron MeVPMe2	10	0
FBbt_00048933	NB3-5 lineage neuron	10	0
FBbt_00059244	adult visual centrifugal neuron	10	0
FBbt_00050028	adult LHa1 lineage neuron	10	0
FBbt_00001520	lineage NB7-1 primary interneuron	10	0
FBbt_00067360	adult antennal lobe projection neuron DM6 adPN	10	0
FBbt_20007275	adult lobula visual centrifugal neuron 01	9	0
FBbt_20002028	adult posterior slope neuron 273	9	0
FBbt_00050171	adult PBp1 lineage neuron	9	0
FBbt_00050174	adult SMPad3 lineage neuron	9	0
FBbt_00067359	adult antennal lobe projection neuron VM2 adPN	9	0
FBbt_00050031	adult SMPpv1 lineage neuron	9	0
FBbt_20007570	adult lobula tangential neuron e09	9	0
FBbt_00052346	adult octopaminergic and glutamatergic neuron	8	0
FBbt_00048939	NB5-3 lineage neuron	8	0
FBbt_00001546	lineage NB2-5 primary motor neuron	8	0
FBbt_00100671	TRdm lineage neuron	8	0
FBbt_00051472	hemilineage 6B secondary neuron	8	0
FBbt_00051478	hemilineage 11B secondary neuron	8	0
FBbt_00003763	l-LNv neuron	8	0
FBbt_00048869	NB2-3 lineage primary neuron	8	0
FBbt_00111754	lobula columnar neuron LC19	8	0
FBbt_20007617	adult medulla tangential neuron e08	7	0
FBbt_00100225	transverse antennal lobe tract projection neuron	7	0
FBbt_00048870	NB2-4 lineage primary neuron	7	0
FBbt_20001744	obsolete adult posterior lateral protocerebrum neuron 244	6	0
FBbt_00049823	accessory medulla neuron aMe12	6	0
FBbt_20007560	adult lobula columnar neuron e08	6	0
FBbt_00050008	adult SLPpl3 lineage neuron	6	0
FBbt_20007561	adult lobula columnar neuron e09	6	0
FBbt_20002366	adult superior intermediate protocerebrum neuron 062	6	0
FBbt_20001860	adult posterior slope neuron 105	6	0
FBbt_00050058	adult SLPav3 lineage neuron	6	0
FBbt_00051311	NB5-2 Notch OFF hemilineage primary neuron	6	0
FBbt_00003884	lobula intrinsic neuron Li2	6	0
FBbt_20007558	adult lobula columnar neuron e06	6	0
FBbt_20001934	adult lobula visual projection neuron LoVP26	6	0
FBbt_20001707	adult lobula plate tangential neuron LPT101	6	0
FBbt_00111758	lobula columnar neuron LC23	6	12
FBbt_00001493	lineage NB4-2 primary interneuron	6	0
FBbt_00051964	adult efferent neuron	6	0
FBbt_00048137	mushroom body octopaminergic neuron	6	0
FBbt_00052834	adult fan-shaped body layer 5 neuron of LALv1 lineage	5	0
FBbt_20007257	medulla intrinsic neuron Mi19	5	0
FBbt_20007277	adult lobula visual centrifugal neuron 02b	5	0
FBbt_20001653	adult posterior lateral protocerebrum neuron 153	5	0
FBbt_00050192	adult FLAa1 lineage neuron	5	0
FBbt_00003860	lobula tangential neuron LT1	4	0
FBbt_20000055	adult anterior optic tubercle neuron 056	4	0
FBbt_00047227	hygrosensory projection neuron	4	0
FBbt_00052113	lateral antennal lobe tract projection neuron 4 (female)	4	0
FBbt_00051293	adult thermosensory neuron	4	0
FBbt_20001598	adult posterior lateral protocerebrum neuron 098	4	0
FBbt_20003618	adult wedge neuron 068	4	0
FBbt_20007250	adult Li29 neuron	4	0
FBbt_00111278	distal medullary amacrine neuron Dm17	4	0
FBbt_00007394	adult local interneuron of the lateral ALl1 neuroblast	4	95
FBbt_20001652	adult posterior lateral protocerebrum neuron 152	4	0
FBbt_20000043	adult anterior optic tubercle neuron 044	4	0
FBbt_00100383	adult antennal lobe projection neuron VC4 adPN	4	0
FBbt_20007667	adult lobula visual centrifugal neuron 02c	4	0
FBbt_00048266	adult dopaminergic neuron of gnathal ganglion	4	0
FBbt_00052517	primary interneuron	4	0
FBbt_20007297	adult medulla visual centrifugal neuron 04	4	0
FBbt_00001482	lineage NB3-2 primary interneuron	4	0
FBbt_00110145	octopaminergic AL2b neuron	4	0
FBbt_00110168	octopaminergic ASM1 neuron	4	0
FBbt_00050221	adult SLPal1 lineage neuron	4	0
FBbt_00007428	adult s-LNv neuron	4	0
FBbt_00048865	NB1-1 lineage primary neuron	4	0
FBbt_20001890	obsolete adult posterior slope neuron 135	4	0
FBbt_00001496	lineage NB5-2 primary interneuron	4	0
FBbt_00110376	adult SMPpd2 lineage neuron	4	0
FBbt_20007656	adult medulla tangential neuron e47	4	0
FBbt_00048235	adult motor neuron	4	0
FBbt_20004523	adult medulla visual projection neuron MeVPMe12	4	0
FBbt_00111616	lineage MNB primary interneuron	4	0
FBbt_20001939	adult posterior slope neuron 184	4	0
FBbt_20007619	adult medulla tangential neuron e10	4	0
FBbt_00051458	hemilineage 13A secondary neuron	4	0
FBbt_20004126	adult MeMe_e10 neuron	4	0
FBbt_20007618	adult medulla tangential neuron e09	4	0
FBbt_20001650	adult posterior lateral protocerebrum neuron 150	4	0
FBbt_20007562	adult lobula tangential neuron e01	3	0
FBbt_20007681	adult medulla visual centrifugal neuron 08c	3	0
FBbt_20007276	adult lobula visual centrifugal neuron 02a	3	0
FBbt_20007622	adult medulla tangential neuron e13	3	0
FBbt_20007620	adult medulla visual projection neuron MeVP58	3	0
FBbt_00048936	NB4-3 lineage neuron	3	0
FBbt_00049942	descending neuron of the posterior brain DNp13 (female)	3	0
FBbt_20007287	adult lobula-lobula plate-medulla visual centrifugal neuron 01	3	0
FBbt_20007607	adult MeMe_e06 neuron	3	0
FBbt_20007605	adult MeMe_e04 neuron	3	0
FBbt_20001859	adult lobula visual projection neuron LoVP33	3	0
FBbt_20007278	adult lobula visual centrifugal neuron 03	3	0
FBbt_00067357	adult antennal lobe projection neuron VA1d adPN	3	0
FBbt_00111640	medulla columnar neuron	3	122
FBbt_00053236	adult metathoracic ventral unpaired median neuron	3	0
FBbt_20001695	adult lobula visual centrifugal neuron LoVC15	3	1
FBbt_20007296	adult medulla visual centrifugal neuron MeVC27	3	0
FBbt_00051464	hemilineage 19A secondary neuron	3	0
FBbt_00003881	lobula-lobula plate columnar neuron LLPC	3	0
FBbt_00005740	eyelet photoreceptor cell	3	0
FBbt_20003510	adult vest neuron 044	3	0
FBbt_20000057	adult anterior optic tubercle neuron 058	3	0
FBbt_20007253	adult CB3838 neuron	3	0
FBbt_20007301	adult medulla visual centrifugal neuron MeVC21	3	0
FBbt_00110937	adult serotonergic IP neuron	3	0
FBbt_20007621	adult medulla visual projection neuron MeVP21	3	0
FBbt_20007564	adult lobula tangential neuron e03	2	0
FBbt_00047383	larval abdominal 1 Basin-1 neuron	2	0
FBbt_00047386	larval abdominal 4 Basin-1 neuron	2	0
FBbt_00047991	lobula plate tangential neuron H1	2	0
FBbt_00047401	larval abdominal 1 Basin-4 neuron	2	0
FBbt_20001625	adult posterior lateral protocerebrum neuron 125	2	0
FBbt_00047391	larval abdominal 1 Basin-2 neuron	2	0
FBbt_00047394	larval abdominal 4 Basin-2 neuron	2	0
FBbt_00047404	larval abdominal 4 Basin-4 neuron	2	0
FBbt_20002362	adult superior intermediate protocerebrum neuron 058	2	0
FBbt_00047788	larval abdominal 1 A19c neuron	2	0
FBbt_00047782	larval abdominal 1 A10a neuron	2	0
FBbt_00050052	adult VESa2 lineage neuron	2	0
FBbt_20000990	adult clamp neuron 285	2	0
FBbt_20001344	adult lateral accessory lobe neuron 048	2	0
FBbt_20002643	adult superior lateral protocerebrum neuron 249	2	0
