skid	name	paper_id	paper_name	fbbt_id	FBbt_ID
205947	KCaBs 205948 ARH CF	11490509	Paper: Zheng et al 2018	FBbt:00110930	
346114	MBONa2sc#1	13040382	Paper: Dolan and Belliart-Guérin et al. 2018	FBbt:00110101	
400943	PN glomerulus VC3m 24596 BH	11490509	Paper: Zheng et al 2018	FBbt:00100387	
424295	KCaBc 424296 NS	11490509	Paper: Zheng et al 2018	FBbt:00110929	
424379	KCaBs 424380 LK	11490509	Paper: Zheng et al 2018	FBbt:00110930	
488055	AV4c2#1	12870485	Paper: Dolan et al. 2019		
515387	KCaBs 515388 IJA	11490509	Paper: Zheng et al 2018	FBbt:00110930	
533772	AD3b1#1	12870485	Paper: Dolan et al. 2019		
535060	MB-C1#1	12870485	Paper: Dolan et al. 2019	FBbt:00100226	
535060	MB-C1#1	11490509	Paper: Zheng et al 2018	FBbt:00100226	
581536	PN glomerulus DL3 47095 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067364	
755022	PN glomerulus DA1 57358 IJA	11490509	Paper: Zheng et al 2018	FBbt:00067363	
771242	PN glomerulus DC1 23665 AA	11490509	Paper: Zheng et al 2018	FBbt:00067014	
775731	PN glomerulus VM1 39831 JMR	11490509	Paper: Zheng et al 2018	FBbt:00007452	
1102557	PV6c1#1	12870485	Paper: Dolan et al. 2019		
1103232	PV4c1#1	12870485	Paper: Dolan et al. 2019		
1149173	VP4 PN t5ALT mlALT 282136 RJVR ECM	11490509	Paper: Zheng et al 2018	FBbt:00007440	
1149437	AD1e1#1	12870485	Paper: Dolan et al. 2019		
1288534	AV4a1#1	12870485	Paper: Dolan et al. 2019		
1299700	PD2a1#1	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
1313334	WED-PN3#1	12870485	Paper: Dolan et al. 2019		
1415893	PD2a1#3	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
1415926	AV6a1#1	12870485	Paper: Dolan et al. 2019		
1420974	MBONa2sc#2	13040382	Paper: Dolan and Belliart-Guérin et al. 2018	FBbt:00110101	
1454234	PD2a1#4	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
1478950	PPL2ab-PN1#1	12870485	Paper: Dolan et al. 2019		
1530770	MB-CP2 SCL fragment 68908	11490509	Paper: Zheng et al 2018		
1540941	MBONap2#1	13040382	Paper: Dolan and Belliart-Guérin et al. 2018	FBbt:00100239	
1546454	PV5k1#1	12870485	Paper: Dolan et al. 2019		
1549518	contralateral MB-CP2 1549519 SAC	11490509	Paper: Zheng et al 2018		
1606113	PD2b1#1	13040382	Paper: Dolan and Belliart-Guérin et al. 2018		
1621078	PV5g1#1	12870485	Paper: Dolan et al. 2019		
1703751	AD1b2#2	12870485	Paper: Dolan et al. 2019		
1703872	PV2a1#1	12870485	Paper: Dolan et al. 2019		
1710793	PV4a2#2	12870485	Paper: Dolan et al. 2019		
1746412	KCaBc 424308 CF	11490509	Paper: Zheng et al 2018	FBbt:00110929	
1775706	PN glomerulus DL1 22153 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067353	
1785034	PN glomerulus DA2 57399 LK	11490509	Paper: Zheng et al 2018	FBbt:00110882	
1812530	AV4c1#1	12870485	Paper: Dolan et al. 2019		
1853423	AV4b2#1	12870485	Paper: Dolan et al. 2019		
1869224	PV4d4#1	12870485	Paper: Dolan et al. 2019		
1870230	AV2a1#1	12870485	Paper: Dolan et al. 2019		
1879479	AD1a2#1	12870485	Paper: Dolan et al. 2019		
1911124	AV4a4#1	12870485	Paper: Dolan et al. 2019		
1967862	AV1a2#1	12870485	Paper: Dolan et al. 2019		
1967891	AV4b4#1	12870485	Paper: Dolan et al. 2019		
2096700	PV4a12#1	12870485	Paper: Dolan et al. 2019		
2109445	MBON-y5B'2a 2109446 NS	12823574	Paper: Felsenberg et al 2018	FBbt:00100234	
2130631	PV6a3#1	12870485	Paper: Dolan et al. 2019		
2153398	WED-PN4#1	12870485	Paper: Dolan et al. 2019		
