filename	label	is_a	part_of	dbxrefs	synonyms
57463	Multiglomerular mALT lPN#R6 (skeleton_id:57463)	neuron	female organism|adult brain	catmaid_fafb:57463	Multiglomerular mALT lPN VL1+VP2+VP1l+2 LTS 0.94 57464 ML
57467	Multiglomerular mALT lPN#R8 (skeleton_id:57467)	neuron	female organism|adult brain	catmaid_fafb:57467	Multiglomerular mALT lPN DC4+V+DL5+7 LTS 0.84 57468 LK
57475	Multiglomerular mALT smPN bilateral#L1 (skeleton_id:57475)	neuron	female organism|adult brain	catmaid_fafb:57475	Multiglomerular mALT smPN VP3+VP5+VP2 LTS 0.97 bilateral 57476 IJA
57479	OA-VUMa2#1 (skeleton_id:57479)	neuron	female organism|adult brain	catmaid_fafb:57479	OA-VUMa2 57480 GA FML
57487	Biglomerular mALT VP1l + VP3 ilPN bilateral#L1 (skeleton_id:57487)	neuron	female organism|adult brain	catmaid_fafb:57487	Biglomerular mALT VP1l + VP3 ilPN bilateral 57488 ML ECM
57495	Biglomerular mALT VP1l + VP3 ilPN bilateral#R1 (skeleton_id:57495)	neuron	female organism|adult brain	catmaid_fafb:57495	Biglomerular mALT VP1l + VP3 ilPN bilateral 57496 LK ECM
57536	Multiglomerular mALT l2PN#R3 (skeleton_id:57536)	neuron	female organism|adult brain	catmaid_fafb:57536	Multiglomerular mALT l2PN VL2p+DP1l+VL2a+7 LTS 0.94 57537 LK NM 
57543	Multiglomerular mALT adPN#R8 (skeleton_id:57543)	neuron	female organism|adult brain	catmaid_fafb:57543	Multiglomerular mALT adPN V+DL1+VC3l+11 LTS 0.78 57544 ML NS 
73926	Multiglomerular mALT adPN#R10 (skeleton_id:73926)	neuron	female organism|adult brain	catmaid_fafb:73926	Multiglomerular mALT adPN DP1l+DL2v+VL2a+1 LTS 0.95 73927 LK NS 
77661	Uniglomerular mALT DL3 lPN#R4 (skeleton_id:77661)	neuron	female organism|adult brain	catmaid_fafb:77661	Uniglomerular mALT DL3 lPN 77662 LK
80008	Multiglomerular mALT adPN#R3 (skeleton_id:80008)	neuron	female organism|adult brain	catmaid_fafb:80008	Multiglomerular mALT adPN VC3l+VC3m+VA3+9 LTS 0.83 polyL 80009 ML
177540	Multiglomerular mALT lvPN#R35 (skeleton_id:177540)	neuron	female organism|adult brain	catmaid_fafb:177540	Multiglomerular mALT lvPN DP1l+VA4+DL2v+7 LTS 0.85 177541 SMM NAS
177545	Multiglomerular mALT lvPN#R1 (skeleton_id:177545)	neuron	female organism|adult brain	catmaid_fafb:177545	Multiglomerular mALT lvPN VM3+VM7v+VA2+31 LTS 0.43 177546 SMM AW
177549	Multiglomerular mALT lvPN#R13 (skeleton_id:177549)	neuron	female organism|adult brain	catmaid_fafb:177549	Multiglomerular mALT lvPN DA1+VA2+VC4+4 LTS 0.91 177550 SMM AW
177584	Multiglomerular mALT lvPN#R2 (skeleton_id:177584)	neuron	female organism|adult brain	catmaid_fafb:177584	Multiglomerular mALT lvPN VC4+DL3+VM3+29 LTS 0.48 177585 NAS ZSG
177656	Multiglomerular mALT lvPN#R7 (skeleton_id:177656)	neuron	female organism|adult brain	catmaid_fafb:177656	Multiglomerular mALT lvPN VC4+DP1l+DM1+2 LTS 0.93 177657 EW AW
177706	Uniglomerular mALT DL3 lPN#R2 (skeleton_id:177706)	neuron	female organism|adult brain	catmaid_fafb:177706	Uniglomerular mALT DL3 lPN 177707 AEB
177997	Multiglomerular mALT lvPN#R3 (skeleton_id:177997)	neuron	female organism|adult brain	catmaid_fafb:177997	Multiglomerular mALT lvPN VL2p+VM7v+DM3+16 LTS 0.68 177998 SMM
181551	LHCENT8#1 (skeleton_id:181551)	neuron	female organism|adult brain	catmaid_fafb:181551	LHCENT8#1 181552 Vieille Priére Bouddhique EW ASB RJVR
182684	Multiglomerular mALT lPN#R1 (skeleton_id:182684)	neuron	female organism|adult brain	catmaid_fafb:182684	Multiglomerular mALT lPN VP1d+DC4+VC1+5 LTS 0.93 182685 AES
192430	Multiglomerular t2-mALT lvPN#R2 (skeleton_id:192430)	neuron	female organism|adult brain	catmaid_fafb:192430	Multiglomerular t2-mALT lvPN VP1m+VP5+VP1l LTS 0.97 192431 SMM ECM
199461	Multiglomerular mALT l2PN#R4 (skeleton_id:199461)	neuron	female organism|adult brain	catmaid_fafb:199461	Multiglomerular mALT l2PN DA2+VM7v+VP1m+14 LTS 0.76 Tikka Masala 199462 AEB NS 
434153	Uniglomerular mALT VM1 lPN#L2 (skeleton_id:434153)	neuron	female organism|adult brain	catmaid_fafb:434153	Uniglomerular mALT VM1 lPN 434154
483289	Uniglomerular mALT DL4 adPN#L1 (skeleton_id:483289)	neuron	female organism|adult brain	catmaid_fafb:483289	Uniglomerular mALT DL4 adPN 483290 JSL FML RJVR
488055	LHAV4c1#1 (skeleton_id:488055)	neuron	female organism|adult brain	catmaid_fafb:488055	LHAV4c1#1 488056 downstream DA1 GSXEJ
531931	Uniglomerular mlALT VA1d vPN#R1 (skeleton_id:531931)	neuron	female organism|adult brain	catmaid_fafb:531931	Uniglomerular mlALT VA1d vPN 531932 ASB GSXEJ
554327	LHCENT8#2 (skeleton_id:554327)	neuron	female organism|adult brain	catmaid_fafb:554327	LHCENT8#2 554328 IJA Vieille Priére Bouddhique
563760	LHCENT4#1 (skeleton_id:563760)	neuron	female organism|adult brain	catmaid_fafb:563760	LHCENT4#1 563761 Mighty Little RJVR GSXEJ ASB 
583167	Multiglomerular mlALT vPN#R63 (skeleton_id:583167)	neuron	female organism|adult brain	catmaid_fafb:583167	Multiglomerular mlALT vPN VA1d+VA7l+VA1v+5 LTS 0.93 Laphroaig 583168 AJES RJVR
699859	Uniglomerular mALT DL2d adPN#R5 (skeleton_id:699859)	neuron	female organism|adult brain	catmaid_fafb:699859	Uniglomerular mALT DL2d adPN 699860 NM-NS
709943	Multiglomerular mlALT vPN#R41 (skeleton_id:709943)	neuron	female organism|adult brain	catmaid_fafb:709943	Multiglomerular mlALT vPN VC4+DC4+DM4+11 LTS 0.84 Picard 709944 ASB
856254	OA-VUMa2#2 (skeleton_id:856254)	neuron	female organism|adult brain	catmaid_fafb:856254	OA-VUMa2 856255 NM
1101751	LHPV6a3#1 (skeleton_id:1101751)	neuron	female organism|adult brain	catmaid_fafb:1101751	LHPV6a3#1 1101752 FML RJVR Caligari
1136366	Multiglomerular mALT lvPN#R12 (skeleton_id:1136366)	neuron	female organism|adult brain	catmaid_fafb:1136366	Multiglomerular mALT lvPN DM3+DM4+VC4+6 LTS 0.87 56980 IJA
1136923	Multiglomerular mALT lvPN#R8 (skeleton_id:1136923)	neuron	female organism|adult brain	catmaid_fafb:1136923	Multiglomerular mALT lvPN DM1+DM4+DP1m LTS 0.97 57032 IJA AW
1137895	Multiglomerular mALT lvPN#R14 (skeleton_id:1137895)	neuron	female organism|adult brain	catmaid_fafb:1137895	Multiglomerular mALT lvPN VM3+VC4+DA1+3 LTS 0.91 56992 HG NAS
1142316	Multiglomerular mALT lvPN#R4 (skeleton_id:1142316)	neuron	female organism|adult brain	catmaid_fafb:1142316	Multiglomerular mALT lvPN DL5+DC1+DP1m+6 LTS 0.87 177664 ECS
1144225	Multiglomerular mALT lvPN#R5 (skeleton_id:1144225)	neuron	female organism|adult brain	catmaid_fafb:1144225	Multiglomerular mALT lvPN DM2+DM1+DP1m+5 LTS 0.91 177682 NSR
1144402	Multiglomerular mALT lvPN#R6 (skeleton_id:1144402)	neuron	female organism|adult brain	catmaid_fafb:1144402	Multiglomerular mALT lvPN DM1+DM3+DM2+2 LTS 0.95 177691 MR
1149437	aSP-g1b#2 (skeleton_id:1149437)	neuron	female organism|adult brain	catmaid_fafb:1149437	aSP-g1b#2 1149438 IT
1288606	LHCENT6#1 (skeleton_id:1288606)	neuron	female organism|adult brain	catmaid_fafb:1288606	LHCENT6#1 1288607 Opportunity ASB
1298816	LHAV6a3#1 (skeleton_id:1298816)	neuron	female organism|adult brain	catmaid_fafb:1298816	LHAV6a3#1 1298817 Peacock Bass ASB
1299626	LHPV5a2#2 (skeleton_id:1299626)	neuron	female organism|adult brain	catmaid_fafb:1299626	LHPV5a2#2 1299627 You Came To * But Left Your * At Home ASB
1299740	LHMB1#1 (skeleton_id:1299740)	neuron	female organism|adult brain	catmaid_fafb:1299740	LHMB1#1 1299741 Birthday ASB
1313071	WEDPN3#1 (skeleton_id:1313071)	neuron	female organism|adult brain	catmaid_fafb:1313071	WEDPN3#1 1313072 Sparta ASB RJVR PDP
1313334	WEDPN3#3 (skeleton_id:1313334)	neuron	female organism|adult brain	catmaid_fafb:1313334	WEDPN3#3 1313335 Athens ASB
1316519	LHPV2b5#1 (skeleton_id:1316519)	neuron	female organism|adult brain	catmaid_fafb:1316519	LHPV2b5#1 1316520 Golden Eagle GSXEJ RJVR
1334915	Multiglomerular lALT l2PN#R2 (skeleton_id:1334915)	neuron	female organism|adult brain	catmaid_fafb:1334915	Multiglomerular lALT l2PN DM4+DM1+DM2+28 LTS 0.52 1334916 ARH
1339810	Multiglomerular lALT l2PN#R5 (skeleton_id:1339810)	neuron	female organism|adult brain	catmaid_fafb:1339810	Multiglomerular lALT l2PN V+DL2v+VM7d+13 LTS 0.89 1339811 ARH
1356477	Uniglomerular t10-lALT VP3+ l2PN bilateral#R1 (skeleton_id:1356477)	neuron	female organism|adult brain	catmaid_fafb:1356477	Uniglomerular t10-lALT VP3+ l2PN bilateral 1356478 ARH
1363077	Multiglomerular t3-mALT l2PN#R1 (skeleton_id:1363077)	neuron	female organism|adult brain	catmaid_fafb:1363077	Multiglomerular t3-mALT l2PN VC5+VC3m+VM1+9 LTS 0.89 1363078 ARH
1372988	Multiglomerular mALT lvPN#R23 (skeleton_id:1372988)	neuron	female organism|adult brain	catmaid_fafb:1372988	Multiglomerular mALT lvPN VP5+VP2+VP3+2 LTS 0.94 1372989 ARH
1415926	LHAV6a1#1 (skeleton_id:1415926)	neuron	female organism|adult brain	catmaid_fafb:1415926	LHAV6a1#1 1415927 Haddock ASB
1532304	Uniglomerular mlALT DP1m vPN#R2 (skeleton_id:1532304)	neuron	female organism|adult brain	catmaid_fafb:1532304	Uniglomerular mlALT DP1m vPN 1532305 ASB
1533152	Uniglomerular mlALT VM2 vPN#R1 (skeleton_id:1533152)	neuron	female organism|adult brain	catmaid_fafb:1533152	Uniglomerular mlALT VM2 vPN 1533153 ASB
1533901	Multiglomerular mlALT vPN#R18 (skeleton_id:1533901)	neuron	female organism|adult brain	catmaid_fafb:1533901	Multiglomerular mlALT vPN VM5d+DM2+VM7d+4 LTS 0.92 1533902 ASB
1664544	Multiglomerular t3-mALT l2PN bilateral#R1 (skeleton_id:1664544)	neuron	female organism|adult brain	catmaid_fafb:1664544	Multiglomerular t3-mALT l2PN VL1+VP5+VP2+2 LTS 0.95 bilateral 1664545 RJVR ECM
1695556	Multiglomerular mALT adPN#R9 (skeleton_id:1695556)	neuron	female organism|adult brain	catmaid_fafb:1695556	Multiglomerular mALT adPN DL2v+DP1l+DL2d LTS 0.98 polyL4 1695557
1702624	Uniglomerular mlALT VL2p vPN#R1 (skeleton_id:1702624)	neuron	female organism|adult brain	catmaid_fafb:1702624	Uniglomerular mlALT VL2p vPN 1702625 ASB RJVR
1703751	LHAD1b2#12 (skeleton_id:1703751)	neuron	female organism|adult brain	catmaid_fafb:1703751	LHAD1b2#12 1703752 FML Cremini - downstream of DA2
1703872	LHPV2a2#1 (skeleton_id:1703872)	neuron	female organism|adult brain	catmaid_fafb:1703872	LHPV2a2#1 1703873 FML Beech - downstream of DA2
1706774	LHAV3c1#1 (skeleton_id:1706774)	neuron	female organism|adult brain	catmaid_fafb:1706774	LHAV3c1#1 1706775 RJVR Cornet
1710793	LHPV4a1#3 (skeleton_id:1710793)	neuron	female organism|adult brain	catmaid_fafb:1710793	LHPV4a1#3 1710794 Tipi ASB RJVR
1710886	LHPV2c1#1 (skeleton_id:1710886)	neuron	female organism|adult brain	catmaid_fafb:1710886	LHPV2c1#1 1710887 Fial RJVR
1712057	Uniglomerular mALT VP2+ adPN#R1 (skeleton_id:1712057)	neuron	female organism|adult brain	catmaid_fafb:1712057	Uniglomerular mALT VP2+ adPN 1712058 ECM
1720254	Multiglomerular mALT lvPN#R47 (skeleton_id:1720254)	neuron	female organism|adult brain	catmaid_fafb:1720254	Multiglomerular mALT lvPN DA3+DA1+VC3l+8 LTS 0.84 1720255
1722202	Uniglomerular mlALT VA1v vPN#R2 (skeleton_id:1722202)	neuron	female organism|adult brain	catmaid_fafb:1722202	Uniglomerular mlALT VA1v vPN Double mlALT 1722203 RJVR
1722886	Multiglomerular mlALT vPN#R40 (skeleton_id:1722886)	neuron	female organism|adult brain	catmaid_fafb:1722886	Multiglomerular mlALT vPN VM7v+VM5d+DC4+6 LTS 0.87 1532306 ASB
1724508	Multiglomerular mlALT vPN#R5 (skeleton_id:1724508)	neuron	female organism|adult brain	catmaid_fafb:1724508	Multiglomerular mlALT vPN DA2+DA4m+DC1+4 LTS 0.94 1724509 RJVR
1724523	Uniglomerular mlALT VL2a vPN#R3 (skeleton_id:1724523)	neuron	female organism|adult brain	catmaid_fafb:1724523	Uniglomerular mlALT VL2a vPN 1724524 RJVR
1725235	Multiglomerular mlALT vPN#R59 (skeleton_id:1725235)	neuron	female organism|adult brain	catmaid_fafb:1725235	Multiglomerular mlALT vPN VA7l+VA3+DL2v+9 LTS 0.85 1725236 RJVR
