source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
17223643	VFB_00102fcz	BLVp1 hook left (L1EM:17223643)	['BLVp1 lineage neuron']						
20106468	VFB_00102flo	BLVp1 bilateral 5 right (L1EM:20106468)	['BLVp1 lineage neuron']						
17731956	VFB_001001yi	DALl1 s 4 Left (L1EM:17731956)	['DALl1 lineage neuron']						
19375188	VFB_001001zz	DPMpm2 ppFB 2 - Right (L1EM:19375188)	['DPMpm2 lineage neuron']						
12982435	VFB_001001jr	DPLd s 2 Right (L1EM:12982435)	['DPLd lineage neuron']						
10728323	VFB_00102ewc	DPMm1 ipsilateral descending left (L1EM:10728323)	['DPMm1 lineage neuron']						
19806028	VFB_0010021q	BLAl s 2 Left (L1EM:19806028)	['BLAl1 lineage neuron']						
14547157	VFB_001001ob	CM4 s GC 4 Right (L1EM:14547157)	['CM4 lineage neuron']						
13758977	VFB_001001l9	BAmd2 v s 5 Right (L1EM:13758977)	['BAmd2 lineage neuron']						
17360282	VFB_00102fen	DALv1_PB1_left (L1EM:17360282)	['DALv1 lineage neuron']						
16952665	VFB_00102fbv	DALd sparse descending left; DALd_l  12 (L1EM:16952665)	['DALd lineage neuron']						
19375193	VFB_0010020a	DPMpm2 ppFB 4 - Right (L1EM:19375193)	['DPMpm2 lineage neuron']						
16098538	VFB_00102f7d	DPLm2 gnarled left (L1EM:16098538)	['DPLm2 lineage neuron']						
17733478	VFB_001001z6	TR Balv s 3 Left (L1EM:17733478)	['BAlv lineage neuron']						
12346676	VFB_001001ig	CM4 s ppFB 2 Right  (L1EM:12346676)	['CM4 lineage neuron']						
10993782	VFB_001001hg	DPMm1 upp comm s 3 Left (L1EM:10993782)	['DPMm1 lineage neuron']						
5757817	VFB_001001ej	BLVp2 s 7 Right ; telegoro-like (L1EM:5757817)	['BLVp2 lineage neuron']						
17545878	VFB_001001v2	BAlc post s NB 1 Right  (L1EM:17545878)	['BAlc lineage neuron']						
17380013	VFB_001001tw	BLVp2 s 1 Right (L1EM:17380013)	['BLVp2 lineage neuron']						
14630189	VFB_001001p5	CM4 s dor pos MEF 2 Right (L1EM:14630189)	['CM4 lineage neuron']						
16950391	VFB_001001sa	DALd s 3 Right (L1EM:16950391)	['DALd lineage neuron']						
19352379	VFB_001001zk	BLAl s 5 Left (L1EM:19352379)	['BLAl1 lineage neuron']						
