object	relation	subject_external_id	subject_external_db	pub
left side of organism	has soma location	9771	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9771	fanc1	
adult prothoracic multinerve neuron	fasciculates_with	9771	fanc1	
peripheral nervous system	overlaps	9771	fanc1	
adult ventral nerve cord	overlaps	9771	fanc1	
left side of organism	has soma location	9796	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9796	fanc1	
peripheral nervous system	overlaps	9796	fanc1	
adult ventral nerve cord	overlaps	9796	fanc1	
left side of organism	overlaps	9841	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9841	fanc1	
peripheral nervous system	overlaps	9841	fanc1	
adult ventral nerve cord	overlaps	9841	fanc1	
left side of organism	overlaps	9851	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9851	fanc1	
peripheral nervous system	overlaps	9851	fanc1	
adult ventral nerve cord	overlaps	9851	fanc1	
left side of organism	has soma location	9856	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9856	fanc1	
peripheral nervous system	overlaps	9856	fanc1	
adult ventral nerve cord	overlaps	9856	fanc1	
left side of organism	has soma location	9861	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9861	fanc1	
peripheral nervous system	overlaps	9861	fanc1	
adult ventral nerve cord	overlaps	9861	fanc1	
left side of organism	has soma location	9866	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9866	fanc1	
peripheral nervous system	overlaps	9866	fanc1	
adult ventral nerve cord	overlaps	9866	fanc1	
left side of organism	has soma location	9872	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9872	fanc1	
adult prothoracic multinerve neuron	fasciculates_with	9872	fanc1	
peripheral nervous system	overlaps	9872	fanc1	
adult ventral nerve cord	overlaps	9872	fanc1	
left side of organism	has soma location	9877	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9877	fanc1	
peripheral nervous system	overlaps	9877	fanc1	
adult ventral nerve cord	overlaps	9877	fanc1	
left side of organism	has soma location	9882	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9882	fanc1	
peripheral nervous system	overlaps	9882	fanc1	
adult ventral nerve cord	overlaps	9882	fanc1	
left side of organism	has soma location	9887	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9887	fanc1	
peripheral nervous system	overlaps	9887	fanc1	
adult ventral nerve cord	overlaps	9887	fanc1	
left side of organism	overlaps	9892	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9892	fanc1	
peripheral nervous system	overlaps	9892	fanc1	
adult ventral nerve cord	overlaps	9892	fanc1	
left side of organism	has soma location	9898	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9898	fanc1	
peripheral nervous system	overlaps	9898	fanc1	
adult ventral nerve cord	overlaps	9898	fanc1	
left side of organism	overlaps	9912	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9912	fanc1	
peripheral nervous system	overlaps	9912	fanc1	
adult ventral nerve cord	overlaps	9912	fanc1	
left side of organism	has soma location	9928	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9928	fanc1	
peripheral nervous system	overlaps	9928	fanc1	
adult ventral nerve cord	overlaps	9928	fanc1	
left side of organism	has soma location	9934	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9934	fanc1	
peripheral nervous system	overlaps	9934	fanc1	
adult ventral nerve cord	overlaps	9934	fanc1	
left side of organism	has soma location	10207	fanc1	
adult ventral prothoracic nerve	fasciculates_with	10207	fanc1	
peripheral nervous system	overlaps	10207	fanc1	
adult ventral nerve cord	overlaps	10207	fanc1	
left side of organism	overlaps	10212	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10212	fanc1	
peripheral nervous system	overlaps	10212	fanc1	
adult ventral nerve cord	overlaps	10212	fanc1	
left side of organism	overlaps	10217	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10217	fanc1	
peripheral nervous system	overlaps	10217	fanc1	
adult ventral nerve cord	overlaps	10217	fanc1	
left side of organism	has soma location	10222	fanc1	
adult ventral prothoracic nerve	fasciculates_with	10222	fanc1	
peripheral nervous system	overlaps	10222	fanc1	
adult ventral nerve cord	overlaps	10222	fanc1	
left side of organism	overlaps	10227	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10227	fanc1	
peripheral nervous system	overlaps	10227	fanc1	
adult ventral nerve cord	overlaps	10227	fanc1	
left side of organism	overlaps	10232	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10232	fanc1	
peripheral nervous system	overlaps	10232	fanc1	
adult ventral nerve cord	overlaps	10232	fanc1	
left side of organism	overlaps	10237	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10237	fanc1	
peripheral nervous system	overlaps	10237	fanc1	
adult ventral nerve cord	overlaps	10237	fanc1	
left side of organism	overlaps	10242	fanc1	
adult prothoracic chordotonal nerve	fasciculates_with	10242	fanc1	
peripheral nervous system	overlaps	10242	fanc1	
adult ventral nerve cord	overlaps	10242	fanc1	
