skid	name	paper_id	paper_name	synonyms	FBbt_ID
13986583	LHN-1	21308444	Eschbach, Fushiki et al. 2020b	LH to pseudo bridges_right|LH-13	
13988443	CN-40	21308444	Eschbach, Fushiki et al. 2020b	TT ;  BAmd1 v r _Kathak_left|MB2ON-51	
14071449	MB2ON-25	21308444	Eschbach, Fushiki et al. 2020b	Crab Arm DAMd23_left	
14071613	CN-22	21308444	Eschbach, Fushiki et al. 2020b	T1 ; DALcl12 d 4_left|MB2ON-29	
14073503	MB2ON-16	21308444	Eschbach, Fushiki et al. 2020b	L ; DALcm12 m lat 4_left|MB2IN-112	
14206030	CN-16	21308444	Eschbach, Fushiki et al. 2020b	AQ ;  DPMpm2_1_right|MB2ON-5	
14214039	MB2ON-86	21308444	Eschbach, Fushiki et al. 2020b	S ; Convergence Sibling AB Right; DALcm12 m ant lat 2_right	
14319185	CN-57	21308444	Eschbach, Fushiki et al. 2020b	Nest_left|MB2ON-40|LH-14|LHN-21	
14328512	MB2ON-137	21308444	Eschbach, Fushiki et al. 2020b	BX 1; column of protocerebral bridge_right	
14329745	MB2ON-232	21308444	Eschbach, Fushiki et al. 2020b	BP 1 ; Left	
14333495	CN-45	21308444	Eschbach, Fushiki et al. 2020b	Oval 42a_left|MB2ON-118|LH-16|LHN-9	
14334367	MB2ON-79	21308444	Eschbach, Fushiki et al. 2020b	BQ 1 ; DPMl12 ant 1_right |MB2IN-124	
14342744	MB2ON-247	21308444	Eschbach, Fushiki et al. 2020b	Tidal wave left	
14495367	MB2ON-133	21308444	Eschbach, Fushiki et al. 2020b	BP_right	
14514597	LHN-5	21308444	Eschbach, Fushiki et al. 2020b	I? ; Smash's forgotten ugly cousin_possible PVL005 - 3 Left_sibling|LH-29	
14539753	MB2IN-213	21308444	Eschbach, Fushiki et al. 2020b	BS; CM4 dor ant 1 DNs_left|MB2ON-74	
14617508	CN-34	21308444	Eschbach, Fushiki et al. 2020b	GH_left|MB2ON-119	
14680483	CN-34	21308444	Eschbach, Fushiki et al. 2020b	GH_right|MB2ON-119	
14891367	MB2ON-76	21308444	Eschbach, Fushiki et al. 2020b	BAmd1 d_left	
14948339	CN-18	21308444	Eschbach, Fushiki et al. 2020b	IT_right|MB2ON-50	
15468308	MB2ON-248	21308444	Eschbach, Fushiki et al. 2020b	To Complete with soma left	
