filename	label	is_a	part_of	dbxrefs
14892	neuron 14893 (14892)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14892
14897	neuron 14898 (14897)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14897
14905	neuron 14906 (14905)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14905
14939	neuron 14940 (14939)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14939
14948	neuron 14949 (14948)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14948
14969	neuron 14970 (14969)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14969
15047	neuron 15048 (15047)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15047
15083	neuron 15084 (15083)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15083
15098	neuron 15099 (15098)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15098
15125	neuron 15126 (15125)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15125
15163	neuron 15164 (15163)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15163
15212	neuron 15213 (15212)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15212
15498	neuron 15499 (15498)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15498
15504	neuron 15505 (15504)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15504
15510	neuron 15511 (15510)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15510
15516	neuron 15517 (15516)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15516
15679	neuron 15680 (15679)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:15679
16011	neuron 16012 (16011)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16011
16025	neuron 16026 (16025)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16025
16040	neuron 16041 (16040)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16040
16045	neuron 16046 (16045)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16045
16049	neuron 16050 (16049)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16049
16054	neuron 16055 (16054)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16054
16070	neuron 16071 (16070)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16070
16184	neuron 16185 (16184)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16184
16217	neuron 16218 (16217)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16217
16222	neuron 16223 (16222)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16222
16241	neuron 16242 (16241)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16241
16581	neuron 16582 (16581)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16581
16681	neuron 16682 (16681)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16681
16704	neuron 16705 (16704)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16704
16754	neuron 16755 (16754)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16754
16759	neuron 16760 (16759)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16759
16764	neuron 16765 (16764)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16764
16769	neuron 16770 (16769)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16769
16801	neuron 16802 (16801)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16801
16810	neuron 16811 (16810)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16810
16828	neuron 16829 (16828)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16828
16832	neuron 16833 (16832)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16832
16850	neuron 16851 (16850)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16850
16856	neuron 16857 (16856)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16856
16873	neuron 16874 (16873)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16873
16879	neuron 16880 (16879)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:16879
17386	neuron 17387 (17386)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:17386
17664	neuron 17665 (17664)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:17664
17764	neuron 17765 (17764)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:17764
17897	neuron 17898 (17897)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:17897
17999	neuron 18000 (17999)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:17999
18025	neuron 18026 (18025)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18025
18034	neuron 18035 (18034)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18034
18190	neuron 18191 (18190)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18190
18194	neuron 18195 (18194)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18194
18201	neuron 18202 (18201)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18201
18205	neuron 18206 (18205)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18205
18215	neuron 18216 (18215)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18215
18341	neuron 18342 (18341)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18341
18350	neuron 18351 (18350)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:18350
