filename	label	is_a	part_of	comment	dbxrefs
606519	scolopidium 103332 (FANC:606519)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606519
606532	neuron 82854 (FANC:606532)	neuron	female organism|adult nervous system	femoral bristle, damaged, sensory neuron	catmaid_leg40:606532
606545	neuron 80807 (FANC:606545)	neuron|prothoracic trochanter campaniform sensillum Sc-8	female organism|adult nervous system	trochanteral campaniform sensillum, sensory neuron, TrCS8	catmaid_leg40:606545
606561	neuron 95142 (FANC:606561)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103276, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606561
606577	neuron 101289 (FANC:606577)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606577
606589	scolopidium 103337 (FANC:606589)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606589
606602	neuron 82860 (FANC:606602)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606602
606614	scolopidium 103343 (FANC:606614)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606614
606627	neuron 95154 (FANC:606627)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103270, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606627
606643	neuron 101298 (FANC:606643)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606643
606655	neuron 80821 (FANC:606655)	neuron	female organism|adult nervous system	TrCS5, sensory neuron, trochanteral campaniform sensillum	catmaid_leg40:606655
606670	scolopidium 103349 (FANC:606670)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606670
606683	neuron 82872 (FANC:606683)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606683
606695	muscle 93115 (FANC:606695)	neuron	female organism|adult ventral nerve cord	femur muscle 4, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:606695
606708	scolopidium 103355 (FANC:606708)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606708
606721	neuron 146365 (FANC:606721)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103461, neuron 104325, femoral chordotonal neuron, attaches to FeCO lateral tendon	catmaid_leg40:606721
606739	neuron 82878 (FANC:606739)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606739
606751	neuron 101310 (FANC:606751)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606751
606763	scolopidium 103361 (FANC:606763)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606763
606776	neuron 82884 (FANC:606776)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606776
606788	neuron 101316 (FANC:606788)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606788
606800	scolopidium 103367 (FANC:606800)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606800
606813	neuron 82890 (FANC:606813)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606813
606825	neuron 101322 (FANC:606825)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606825
606837	scolopidium 103372 (FANC:606837)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606837
606850	neuron 101328 (FANC:606850)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606850
606862	neuron 82897 (FANC:606862)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606862
606874	scolopidium 103377 (FANC:606874)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606874
606887	neuron 101334 (FANC:606887)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606887
606899	neuron 82903 (FANC:606899)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606899
606911	scolopidium 103382 (FANC:606911)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606911
606924	scolopidium 103388 (FANC:606924)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606924
606937	muscle 93149 (FANC:606937)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:606937
606950	neuron 82910 (FANC:606950)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606950
606962	neuron 101341 (FANC:606962)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606962
606974	scolopidium 103394 (FANC:606974)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:606974
606987	neuron 82916 (FANC:606987)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606987
606999	muscle 93157 (FANC:606999)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:606999
607012	neuron 80870 (FANC:607012)	neuron	female organism|adult nervous system	TrCS5, sensory neuron, trochanteral campaniform sensillum	catmaid_leg40:607012
607027	scolopidium 103399 (FANC:607027)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607027
607040	neuron 82922 (FANC:607040)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607040
607052	neuron 101354 (FANC:607052)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:607052
607064	muscle 93164 (FANC:607064)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:607064
607077	scolopidium 103404 (FANC:607077)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607077
607090	neuron 82928 (FANC:607090)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607090
607102	neuron 101360 (FANC:607102)	neuron	female organism|adult nervous system	tibial bristle, sensory neuron	catmaid_leg40:607102
607114	neuron 101366 (FANC:607114)	neuron	female organism|adult nervous system	tibial bristle, sensory neuron	catmaid_leg40:607114
607126	scolopidium 103415 (FANC:607126)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607126
607139	muscle 93178 (FANC:607139)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:607139
607152	neuron 82940 (FANC:607152)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607152
607164	neuron 101372 (FANC:607164)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:607164
607176	neuron 76798 (FANC:607176)	neuron	female organism|adult nervous system	coxal motor neuron, ventral nerve	catmaid_leg40:607176
607190	scolopidium 103420 (FANC:607190)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607190
607203	scolopidium 103425 (FANC:607203)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607203
607216	neuron 82946 (FANC:607216)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607216
607228	neuron 101378 (FANC:607228)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:607228
607240	scolopidium 103430 (FANC:607240)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607240
607253	neuron 82952 (FANC:607253)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607253
607265	neuron 101384 (FANC:607265)	neuron	female organism|adult nervous system	tibial bristle, sensory neuron	catmaid_leg40:607265
607277	scolopidium 103435 (FANC:607277)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607277
607290	muscle 93196 (FANC:607290)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:607290
607303	neuron 82958 (FANC:607303)	neuron	female organism|adult nervous system	femoral bristle, leaves volume, sensory neuron	catmaid_leg40:607303
607316	neuron 101390 (FANC:607316)	neuron	female organism|adult nervous system	tibial bristle, sensory neuron, leaves volume	catmaid_leg40:607316
607329	scolopidium 103440 (FANC:607329)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607329
607342	neuron 82964 (FANC:607342)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607342
607354	scolopidium 103445 (FANC:607354)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607354
607367	neuron 101398 (FANC:607367)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:607367
607379	neuron 82970 (FANC:607379)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:607379
607391	neuron 80923 (FANC:607391)	neuron	female organism|adult nervous system	sensory neuron, TrCS5, trochanteral campaniform sensillum	catmaid_leg40:607391
607407	scolopidium 103450 (FANC:607407)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to FeCO lateral tendon	catmaid_leg40:607407
